"id","name","code","report_type","close_method"
"account.data_account_type_root_view","Root/View","Root/View","/","None"
"account.data_account_type_view","View","View","/","None"
"account.data_account_type_asset","Asset","Asset","Balance Sheet (Asset account)","Balance"
"account.data_account_type_cash","Cash","Cash","Balance Sheet (Asset account)","Balance"
"account.data_account_type_bank","Bank","Bank","Balance Sheet (Asset account)","Balance"
"account.data_account_type_receivable","Receivable","Receivable","Balance Sheet (Asset account)","Unreconciled"
"account.data_account_type_input_tax","Input Tax","Input Tax","Balance Sheet (Asset account)","Unreconciled"
"account.data_account_type_current_assets","Current Assets","Current Assets","Balance Sheet (Asset account)","Balance"
"account.data_account_type_fixed_assets","Fixed Assets","Fixed Assets","Balance Sheet (Asset account)","Balance"
"account.data_account_account_type_non_current_assets","Non Current Assets","Non Current Assets","Balance Sheet (Asset account)","Balance"
"account.data_account_type_liability","Liability","Liability","Balance Sheet (Liability account)","Balance"
"account.data_account_type_payable","Payable","Payable","Balance Sheet (Liability account)","Unreconciled"
"account.data_account_type_output_tax","Output Tax","Output Tax","Balance Sheet (Liability account)","Unreconciled"
"account.data_account_type_current_liabilities","Current Liabilities","Current Liabilities","Balance Sheet (Liability account)","Balance"
"account.data_account_account_type_non_current_liabilities","Non Current Liabilities","Non Current Liabilities","Balance Sheet (Liability account)","Balance"
"account.data_account_type_fund_balance","Fund Balance","Fund Balance","Balance Sheet (Liability account)","Balance"
"account.data_account_type_revenue","Revenue","Revenue","Profit & Loss (Income account)","None"
"account.data_account_account_type_personnel_costs","Personnel Costs","Personnel Costs","Profit & Loss (Expense account)","None"
"account.data_account_type_expense","Expense","Expense","Profit & Loss (Expense account)","None"
"account.data_account_account_type_depreciation","Depreciation","Depreciation","Profit & Loss (Expense account)","None"
"account.data_account_type_profit_and_loss","Profit and Loss","Profit and Loss","/","None"
"account.data_account_account_type_allocation","Allocation","Allocation","Profit & Loss (Expense account)","None"
